board,iterations,info_states_found,info_states_ground_truth,coverage_pct,wall_time_s,iters_per_sec
2x2,100,39,42,92.9,0.005,19519
2x2,1000,42,42,100.0,0.031,32188
2x2,10000,42,42,100.0,0.224,44584
2x2,100000,42,42,100.0,2.344,42668
3x2,1000,295,410,72.0,0.041,24655
3x2,10000,351,410,85.6,0.418,23914
3x2,50000,386,410,94.1,2.104,23763
3x2,100000,396,410,96.6,4.178,23936
3x3,1000,3071,12556,24.5,0.078,12802
3x3,10000,7359,12556,58.6,0.662,15096
3x3,50000,9470,12556,75.4,3.071,16284
3x3,100000,10134,12556,80.7,6.024,16599
3x3,500000,11308,12556,90.1,31.026,16116
