condition,cfr_iter,exploitability,info_states_in_strategy,adv_buf_p0,adv_buf_p1,strat_buf,iter_time_s,total_time_s,expl_time_s
dream,1,0.9946159474145698,212,676,611,1446,0.41,0.4,0.07
dream,2,0.9458786515715178,212,1282,1216,2701,0.36,0.8,0.06
dream,3,0.7403591891642137,212,1888,1842,3995,0.35,1.1,0.06
dream,4,0.5237731855131224,212,2451,2546,5329,0.35,1.5,0.06
dream,5,0.4125170068641507,212,3000,3217,6612,0.36,1.8,0.06
dream,6,0.4302941546055366,212,3503,3845,7841,0.35,2.2,0.06
dream,7,0.3957823547368985,212,4017,4508,9118,0.35,2.5,0.06
dream,8,0.31650502245803036,212,4568,5138,10329,0.35,2.9,0.06
dream,9,0.2844896306423494,212,5048,5780,11521,0.34,3.2,0.06
dream,10,0.21084314723993014,212,5545,6505,12826,0.35,3.6,0.06
dream,15,0.2842655694632675,212,8829,10006,20002,0.36,5.4,0.06
dream,20,0.37273360282545054,212,11675,12963,26322,0.34,7.2,0.06
dream,25,0.31411558456131694,212,14154,16211,32463,0.35,9.0,0.06
dream,30,0.26349304248644645,212,16656,19380,38587,0.35,10.8,0.06
dream,35,0.2567562087686468,212,19437,22491,45093,0.35,12.5,0.06
dream,40,0.2356712296052762,212,22194,25563,51552,0.36,14.3,0.06
dream,45,0.21349463050213452,212,24830,28544,57409,0.35,16.1,0.06
dream,50,0.2445333927829484,212,27544,31548,63291,0.35,17.9,0.06
dream,60,0.29498587538923676,212,33319,38013,76919,0.4,21.6,0.06
dream,70,0.1654668149596567,212,38650,44718,89658,0.39,25.3,0.06
dream,80,0.23705923149761554,212,44633,51366,100000,0.36,29.0,0.06
dream,90,0.23272738884662603,212,50654,58311,100000,0.38,32.7,0.06
dream,100,0.28072056320514793,212,56782,65284,100000,0.36,36.7,0.06
